Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Predicted_Exam_Score,Predicted_Group
8,99,2,2,0,9,54,1,1,2,1,2,1,1,5,0,2,2,0,67,66.4922009913243,Pass
12,72,1,2,1,8,84,2,1,1,1,2,1,2,5,0,1,2,0,63,64.48790994406932,Pass
21,65,1,2,1,6,98,1,1,1,2,0,1,0,4,0,1,2,1,64,65.64123128843433,Pass
24,68,0,2,0,8,56,1,1,3,0,0,1,1,1,0,0,2,1,67,66.04273976418241,Pass
21,84,2,2,1,6,52,1,1,1,2,0,1,1,2,1,0,0,0,65,64.93956143115511,Pass
19,63,1,0,0,7,94,2,1,1,2,2,0,2,3,0,1,1,1,64,64.55689043569724,Pass
18,94,2,0,1,7,82,2,1,3,2,2,0,0,2,1,0,2,1,70,69.10499764563438,Pass
11,98,2,2,1,9,82,1,1,1,2,2,0,2,3,0,2,0,1,68,67.67366075207767,Pass
16,70,2,2,1,8,98,2,1,2,2,2,1,2,3,0,1,1,1,65,64.97385793782706,Pass
17,78,2,2,1,6,88,2,1,1,2,0,0,2,3,0,0,2,0,68,66.72746578980812,Pass
26,61,2,1,1,6,70,2,1,2,1,2,1,2,3,0,1,1,0,64,65.36390006520503,Pass
22,86,1,2,1,7,72,1,1,3,1,0,1,2,2,0,1,1,1,68,70.16045344251427,Pass
9,77,2,2,0,5,57,2,1,2,2,0,1,1,3,0,1,2,1,63,62.31883489462804,Pass
22,71,1,2,1,7,65,1,1,1,2,1,1,2,4,0,0,1,1,64,65.68407339227949,Pass
18,68,0,2,0,7,72,2,1,0,2,2,1,1,3,0,0,2,1,64,63.07478643663558,Pass
16,86,1,2,1,8,63,2,1,2,2,2,1,2,4,0,1,2,1,67,67.55425552834882,Pass
24,77,0,1,0,8,96,2,1,0,2,2,1,1,3,0,1,2,0,67,68.27843345936861,Pass
26,67,2,0,1,7,51,1,1,2,0,0,0,1,4,1,2,0,0,66,65.30991751060253,Pass
26,88,2,0,1,5,79,2,1,1,1,0,0,2,4,0,0,1,1,72,71.55168387813599,Pass
15,83,2,0,0,5,89,1,0,1,2,0,1,1,2,1,1,2,0,65,65.14954447235242,Pass
18,94,2,2,1,6,87,0,1,1,2,2,1,2,4,0,1,2,1,71,70.2698858035115,Pass
22,65,0,1,0,8,82,2,1,2,2,0,1,2,1,0,2,2,0,66,66.4596097342074,Pass
26,91,2,1,1,8,71,2,1,0,1,2,0,1,3,0,1,1,1,68,69.80717168638824,Pass
17,87,2,2,0,7,96,2,1,1,0,2,1,0,5,0,2,2,0,70,67.75453215843247,Pass
19,65,2,2,1,10,66,1,1,0,1,2,1,2,3,0,1,1,1,62,62.60394144672317,Pass
13,88,1,0,1,9,88,0,1,2,1,0,0,0,4,0,2,0,1,68,68.2033194745987,Pass
13,78,2,0,1,9,96,0,1,2,1,2,1,1,3,0,0,1,1,67,66.14532542255618,Pass
25,98,1,0,1,8,56,2,0,0,2,0,0,1,3,0,2,2,1,71,70.94830427908659,Pass
28,66,2,0,1,8,97,2,1,0,2,2,1,1,2,0,1,2,1,68,67.2106675087121,Pass
20,86,2,2,1,8,89,2,1,1,1,2,1,0,3,0,2,2,1,69,68.11557260107588,Pass
26,75,1,0,1,4,81,0,1,3,2,0,0,2,2,0,1,1,1,70,70.51380005567061,Pass
22,98,2,0,0,5,69,1,0,1,1,0,1,0,4,0,1,1,0,69,69.53276093553734,Pass
16,73,2,2,0,7,95,2,1,1,1,2,1,0,4,0,0,2,1,65,63.97871116749954,Pass
22,98,2,1,1,7,52,2,0,3,2,2,1,2,3,0,0,2,0,70,70.20875214155917,Pass
29,96,2,1,1,7,72,2,1,1,1,2,1,2,3,0,1,1,1,71,72.69818817936412,Pass
20,71,2,2,1,7,88,2,1,1,1,1,1,1,4,0,0,2,0,65,65.71527117189189,Pass
29,92,1,2,0,4,91,2,1,2,2,2,1,0,1,0,2,2,0,72,71.96530266039971,Pass
4,100,0,0,1,8,60,0,1,0,2,0,0,2,4,0,0,1,1,69,67.16399052424755,Pass
25,70,2,2,0,7,52,2,1,1,2,2,1,2,3,0,2,2,0,66,65.00651422016843,Pass
21,77,1,2,1,7,90,2,1,4,2,2,0,1,3,0,2,1,1,68,68.55119491824668,Pass
18,81,0,1,1,8,71,2,1,0,2,2,1,1,3,0,1,1,0,65,66.23731590058662,Pass
21,72,2,2,1,5,57,2,1,1,0,2,1,1,5,1,0,1,1,64,63.5290032448939,Pass
8,61,2,2,1,7,54,2,1,1,0,2,1,2,3,0,0,2,1,60,58.95390323642909,Pass
19,69,2,0,1,7,82,0,1,1,1,2,1,0,2,0,1,2,1,65,64.94957614449868,Pass
22,71,0,2,0,6,79,0,1,1,1,1,1,2,3,0,1,2,1,66,67.04697186867386,Pass
29,78,0,0,1,4,93,1,1,5,2,0,1,1,3,0,0,2,1,74,73.71195021720902,Pass
17,67,2,2,1,5,52,0,1,2,2,2,0,0,3,0,1,0,0,62,61.387970668767764,Pass
15,95,2,2,0,7,93,2,1,2,1,2,1,2,4,0,0,1,1,70,68.99244449525256,Pass
17,88,2,0,1,7,94,1,1,0,2,2,1,1,3,0,1,2,1,69,68.59333163945188,Pass
25,63,2,0,1,7,72,2,1,3,2,0,0,0,4,0,0,0,1,67,65.25105892284078,Pass
22,86,1,1,0,6,54,2,1,2,2,2,1,1,0,0,1,1,1,64,67.0664823809591,Pass
17,86,2,0,0,5,97,0,1,3,0,2,1,1,3,0,0,2,1,71,69.58291528931088,Pass
23,98,2,1,1,7,54,1,1,0,2,2,1,0,3,0,0,2,0,68,69.27676768751071,Pass
21,60,0,2,0,7,80,2,1,0,2,0,1,1,4,1,0,2,1,64,62.49950648407237,Pass
26,70,2,1,1,8,75,2,1,1,2,1,0,1,4,1,1,0,0,63,65.2544801394714,Pass
16,97,2,2,1,6,92,1,1,0,0,2,0,2,4,0,0,2,1,71,70.05818559354516,Pass
18,97,0,2,1,4,75,1,1,0,1,2,1,2,3,0,1,1,1,69,70.10064861249589,Pass
18,89,0,2,1,4,73,2,1,3,0,2,0,2,2,0,0,2,0,100,70.0680459662733,Pass
11,91,2,2,0,6,94,2,1,3,2,2,1,1,3,0,0,1,1,68,66.76711545828185,Pass
22,64,1,2,0,7,98,1,0,1,2,2,1,0,3,0,1,2,1,62,63.47214757605636,Pass
22,81,2,2,1,7,77,1,1,2,2,2,1,2,3,0,2,0,0,68,67.74936615570215,Pass
20,69,0,0,1,6,73,2,1,2,1,2,0,2,3,0,1,0,1,66,66.22452627502932,Pass
19,67,1,2,0,5,92,0,1,0,2,2,1,2,3,0,0,2,1,64,64.55178722195723,Pass
12,92,2,2,0,4,92,0,1,2,2,0,1,1,3,1,1,1,1,67,66.78689519400706,Pass
17,65,2,0,1,8,66,2,1,1,0,0,1,1,4,1,2,1,0,65,62.8103007433922,Pass
18,79,2,2,1,7,79,2,1,0,1,0,0,1,3,0,0,0,1,65,64.94408753324696,Pass
15,98,0,2,0,6,58,0,1,0,1,0,1,2,3,0,0,2,1,69,68.92021286668366,Pass
19,67,2,2,0,5,82,0,1,1,1,1,0,0,3,0,1,2,1,63,63.66983891143232,Pass
22,99,2,1,1,6,92,1,1,3,2,2,1,0,4,0,2,1,1,72,72.5305222907206,Pass
31,100,2,2,0,7,59,2,1,2,0,0,1,2,5,0,2,1,1,76,74.08994741659474,Pass
21,82,2,0,1,7,66,0,1,3,1,2,1,2,3,1,0,2,0,69,68.48050932760239,Pass
22,67,2,2,1,7,72,0,1,3,1,0,1,2,2,0,2,1,0,67,66.30333829810522,Pass
20,73,0,2,1,9,92,2,1,2,2,0,1,2,3,0,0,2,1,69,68.04619165788311,Pass
8,77,0,2,1,6,87,2,1,0,1,2,1,1,2,0,1,1,1,63,62.95636229098902,Pass
20,72,2,2,0,9,66,2,1,3,1,0,0,2,3,0,2,2,1,67,66.19937889150327,Pass
20,71,1,0,1,7,62,0,1,2,2,2,1,0,5,0,0,2,1,66,65.80072628448086,Pass
35,99,0,0,1,7,85,1,1,2,2,0,0,1,2,0,2,2,0,79,77.87509153259285,Pass
19,66,2,2,0,8,74,2,1,1,0,2,1,1,3,0,1,2,0,64,63.12114882726206,Pass
22,89,0,0,1,6,80,2,1,1,0,0,1,2,3,0,1,2,0,73,72.10480265966702,Pass
20,60,1,0,0,7,82,0,1,2,1,0,1,2,4,1,1,2,1,63,64.81776160493692,Pass
13,84,2,2,0,5,78,2,1,1,1,0,1,2,2,0,1,2,1,65,65.86340496505542,Pass
27,97,1,0,1,8,81,2,1,0,0,2,1,2,5,0,1,2,0,73,74.0685989517157,Pass
25,72,0,0,1,8,94,1,1,2,1,2,0,2,4,0,0,1,0,70,69.8245408073144,Pass
25,67,0,2,0,9,93,0,1,2,1,0,1,2,3,1,1,2,0,68,67.55717935032533,Pass
15,86,2,2,1,7,57,2,1,1,2,2,1,0,3,0,0,2,1,65,64.67779918168446,Pass
28,89,1,0,1,9,79,0,1,0,1,2,0,2,1,0,0,1,0,71,71.50826553741214,Pass
12,88,1,2,0,6,72,1,1,2,2,2,1,2,2,0,0,0,1,64,65.40224249015118,Pass
24,73,2,0,1,8,64,2,1,4,0,2,0,1,3,1,0,1,1,68,66.82481588573867,Pass
33,70,2,2,1,6,82,1,1,1,1,0,1,1,4,0,0,2,1,69,69.36893383269256,Pass
14,98,2,2,0,7,76,2,1,0,2,0,0,2,4,0,0,1,0,69,67.85960425762885,Pass
17,97,2,2,0,8,89,2,1,1,1,3,1,1,4,0,1,0,1,69,68.20558063067931,Pass
21,78,2,2,1,10,55,2,1,1,0,1,0,2,2,0,0,2,1,67,66.10283056779936,Pass
17,94,1,2,1,8,65,1,1,4,2,2,1,1,6,0,1,0,0,68,69.51525083836124,Pass
11,78,2,0,1,8,51,2,1,2,1,2,1,1,3,0,2,2,1,64,63.98124376300113,Pass
20,77,2,2,0,6,87,1,1,0,1,0,1,2,4,0,1,2,0,66,66.90929347097953,Pass
14,66,0,1,0,7,96,2,1,3,1,0,1,0,3,0,1,2,1,63,64.80888479038313,Pass
23,77,2,2,1,7,79,2,1,0,1,0,1,1,2,0,1,1,1,66,66.42256972325113,Pass
14,81,2,2,0,9,81,2,1,1,1,0,0,0,3,0,2,2,0,66,64.94223934434626,Pass
29,61,2,0,1,7,52,1,1,3,1,2,0,2,3,0,0,2,0,67,66.73493766450798,Pass
15,78,0,0,0,9,75,1,1,1,1,2,1,0,1,0,1,2,1,65,65.1951654483097,Pass
18,91,1,2,1,5,76,2,1,1,2,2,1,1,3,0,1,2,0,68,68.63187884215634,Pass
25,87,2,1,0,9,52,0,1,1,1,0,0,2,2,0,1,2,1,68,69.31500818307384,Pass
13,85,0,2,0,6,89,2,1,0,0,2,0,1,1,1,1,2,1,65,65.135061175796,Pass
21,96,2,2,0,8,64,0,1,2,2,0,1,1,0,0,0,2,1,71,69.3717227654311,Pass
28,61,2,0,0,6,86,0,1,1,1,2,0,0,3,1,2,0,1,65,64.18946407543616,Pass
10,82,2,1,0,8,70,2,1,3,1,0,1,2,1,1,2,2,0,64,64.67304018765608,Pass
21,91,0,2,0,6,100,2,1,0,0,2,0,1,2,0,2,2,0,72,70.36043401275738,Pass
22,82,2,2,0,9,61,2,1,2,1,2,1,0,2,1,1,2,0,65,65.25914365978576,Pass
25,73,2,0,0,8,53,0,0,0,1,0,0,0,5,0,2,2,0,66,65.15726870095494,Pass
13,65,1,0,0,6,99,2,1,0,1,2,0,0,4,0,1,2,1,61,62.75646292780608,Pass
12,96,1,0,1,8,62,2,1,2,2,0,1,0,3,0,0,2,0,68,68.2125073560343,Pass
23,79,0,0,1,8,82,1,1,3,2,2,1,0,3,1,2,1,0,69,68.61275438847565,Pass
22,95,2,0,1,6,69,2,1,1,1,2,1,2,3,0,0,2,0,72,71.08861575580589,Pass
22,83,2,0,1,5,82,2,1,2,1,0,1,2,3,0,2,2,0,71,70.66452236716232,Pass
22,87,0,0,0,5,80,1,1,2,1,0,1,0,3,0,1,2,0,70,70.61615696914004,Pass
16,92,2,0,1,5,85,1,1,1,1,2,1,1,2,0,1,1,1,68,68.71338230680124,Pass
21,86,1,2,1,5,51,2,1,2,1,0,1,2,2,0,1,1,0,67,68.2923304374948,Pass
22,76,2,2,1,8,92,2,1,1,1,0,1,1,4,0,1,2,0,68,67.8421524116091,Pass
16,81,2,2,1,8,74,2,1,3,2,2,1,2,2,0,2,2,0,68,66.97022572582823,Pass
31,92,2,2,1,4,76,2,1,2,2,0,1,2,4,1,1,0,1,72,71.96160875756112,Pass
23,75,1,0,0,6,71,1,1,0,2,2,1,1,2,0,0,2,1,65,66.22605797738304,Pass
13,76,2,0,0,5,99,1,1,2,2,2,0,2,4,0,1,2,0,66,66.53174749536873,Pass
24,64,2,2,1,8,90,0,1,0,1,0,1,0,3,0,1,2,1,65,65.07124395073924,Pass
14,97,2,2,1,6,66,2,1,2,2,2,1,0,3,1,0,2,0,67,66.63594533072296,Pass
25,64,2,0,0,5,89,1,1,2,2,2,1,1,4,0,0,0,1,66,65.44195904773905,Pass
27,86,2,2,0,7,72,1,1,1,2,0,1,2,4,0,1,0,1,69,69.3335503021127,Pass
15,77,2,2,1,8,94,1,1,0,0,0,1,2,3,0,0,1,1,66,65.6368099564436,Pass
26,76,2,0,1,6,52,2,1,4,0,1,1,1,3,0,1,2,1,69,69.17804099898564,Pass
22,87,0,1,1,7,68,2,0,0,1,2,1,1,2,0,1,2,1,67,67.85797094738494,Pass
25,63,0,2,1,6,71,2,1,1,2,1,0,2,3,0,1,2,1,66,66.0966994295745,Pass
31,84,2,2,1,9,87,2,1,2,1,2,0,1,3,0,0,0,1,71,70.51203465920932,Pass
19,91,0,1,0,6,59,2,1,5,2,0,1,1,4,0,0,1,1,70,70.30570971491099,Pass
15,93,0,2,0,6,64,2,1,2,2,0,1,2,4,0,2,2,1,71,69.26482116818785,Pass
15,67,2,2,1,7,86,0,1,1,0,2,0,2,3,0,2,2,1,66,64.36703603388932,Pass
15,96,2,2,0,7,54,0,0,3,2,0,1,0,2,0,1,2,1,67,66.63753819179894,Pass
20,86,0,1,0,8,60,2,1,1,2,2,1,1,4,1,0,0,0,66,65.85555356117538,Pass
22,95,2,0,0,9,88,1,1,0,1,0,1,2,2,0,2,2,1,72,71.64765734804519,Pass
22,79,2,2,0,9,94,2,1,1,2,2,1,2,3,0,1,2,1,68,67.68218443699239,Pass
25,82,2,2,0,6,86,2,0,3,1,0,1,2,3,0,1,2,0,69,69.37660279000222,Pass
20,97,2,2,1,7,76,1,1,2,1,1,0,2,3,0,2,2,1,71,71.64907161739883,Pass
29,96,2,2,1,9,55,1,0,0,2,2,1,1,2,0,2,0,0,70,68.89658711984005,Pass
18,78,2,2,0,9,91,0,1,2,0,1,1,1,4,0,0,0,0,67,66.04491142502091,Pass
36,71,2,2,1,6,56,2,1,2,0,2,1,2,2,0,1,0,1,69,68.63140651095776,Pass
24,76,1,0,0,8,69,1,1,2,2,2,1,1,1,0,1,1,1,65,67.0663073629269,Pass
15,76,0,0,0,8,53,2,1,1,1,2,1,1,4,0,0,2,1,65,64.49555934162149,Pass
14,71,2,2,1,8,85,1,1,2,2,0,1,1,4,0,1,2,1,64,64.70756718747805,Pass
23,71,1,1,1,9,75,1,1,1,1,2,1,0,2,0,0,2,1,63,65.81252939892589,Pass
19,94,1,2,1,5,95,2,1,3,1,1,1,2,2,0,1,1,1,69,71.64350974620457,Pass
24,63,2,1,1,6,57,2,1,1,1,0,0,1,5,0,0,2,0,64,64.69407462657773,Pass
23,87,0,0,1,8,91,0,1,0,0,2,0,2,3,0,1,1,1,72,71.39132056953213,Pass
20,67,1,2,1,7,76,2,1,0,2,2,1,1,4,0,1,2,1,63,64.10472871879088,Pass
15,74,1,0,1,4,68,1,1,3,1,2,1,2,3,0,1,2,0,64,66.6946931877501,Pass
11,62,2,0,1,5,82,2,1,3,0,2,0,1,4,0,0,1,1,64,62.41270294620212,Pass
17,71,2,2,1,8,90,2,1,5,2,2,1,2,1,0,2,0,1,67,65.89751680473312,Pass
25,91,2,2,0,8,72,1,1,2,2,0,1,2,0,0,2,2,1,71,70.64136614142355,Pass
21,95,2,2,0,5,62,0,1,1,2,1,1,2,4,0,1,2,1,70,69.83495888677852,Pass
13,69,2,1,1,9,96,1,1,0,0,2,0,1,4,0,1,0,0,61,62.90704707187183,Pass
21,79,2,0,1,7,66,1,1,2,1,2,1,0,4,0,0,1,1,67,66.76373745322334,Pass
22,79,0,2,0,5,100,2,1,4,0,0,1,0,3,0,0,2,1,72,69.96609304889574,Pass
15,95,1,1,1,6,88,1,1,1,1,2,1,0,5,0,1,2,1,66,69.63545179322637,Pass
21,91,2,0,1,5,84,2,1,1,0,1,1,1,2,0,1,2,1,70,70.60966250213372,Pass
20,81,0,2,1,6,51,0,0,3,2,2,1,1,4,1,1,2,1,67,65.99736652333277,Pass
13,87,0,1,1,4,72,2,1,2,2,0,1,1,3,0,1,1,0,67,67.56831836681198,Pass
22,94,1,2,1,7,75,0,1,2,0,2,1,1,2,0,0,2,0,71,71.0202883748357,Pass
23,60,0,2,1,8,69,2,1,1,1,2,0,2,4,0,0,2,1,66,64.70494658212928,Pass
26,76,2,2,1,5,57,2,1,1,2,2,1,2,4,0,1,2,1,68,67.31821655043188,Pass
26,96,2,2,1,7,68,2,1,3,0,2,0,2,3,0,0,2,0,74,72.70949640390971,Pass
12,90,2,1,1,6,54,2,0,1,0,2,1,1,3,0,1,2,1,64,64.86048916579973,Pass
14,82,2,2,0,8,65,2,1,1,1,2,0,2,3,0,0,2,1,65,64.64205725983709,Pass
23,81,1,2,1,4,54,2,1,1,1,2,1,1,3,0,0,2,1,66,67.05135481178544,Pass
23,74,2,0,1,8,88,1,1,0,2,0,1,0,3,1,1,2,1,66,66.30818772316523,Pass
23,81,2,1,0,4,84,2,1,2,2,2,1,2,5,0,1,2,1,68,69.26590386757599,Pass
43,86,0,2,1,7,97,2,1,2,2,0,1,2,1,0,1,2,0,78,77.34146090571487,Pass
23,77,2,0,1,6,69,1,1,1,2,2,0,2,2,0,1,1,0,67,67.39835679386772,Pass
27,89,2,0,1,6,89,2,1,3,2,2,0,2,3,0,1,2,1,74,73.33113374306251,Pass
26,94,2,0,0,5,79,0,1,1,1,0,1,2,2,0,2,2,1,74,72.91789412170027,Pass
24,66,2,1,0,9,82,1,1,1,2,2,1,1,2,1,1,2,0,62,64.12586362526889,Pass
18,78,0,2,1,5,77,2,0,2,2,2,1,1,4,0,1,0,1,66,65.22317366013013,Pass
25,76,2,2,1,5,89,0,1,3,2,0,1,1,3,0,1,0,0,69,68.64417536808608,Pass
15,87,2,0,1,10,52,2,1,2,1,0,0,2,3,0,0,2,1,68,67.56703640147414,Pass
19,70,2,1,0,7,54,0,1,0,2,2,1,2,2,1,1,1,1,89,61.9077099783556,Pass
17,86,0,1,0,5,55,1,0,2,0,2,0,1,4,0,0,2,1,66,66.59318754546985,Pass
20,95,1,2,1,7,64,1,0,2,2,0,1,1,3,0,1,2,0,68,69.41807376368328,Pass
34,77,2,1,1,7,80,1,1,0,2,2,1,2,3,0,1,2,1,69,70.75655374424747,Pass
9,96,2,2,1,4,82,0,0,0,1,2,1,2,4,0,0,2,1,67,66.33691191397966,Pass
24,100,0,0,1,6,86,1,1,2,2,2,0,2,5,0,1,2,1,75,75.39311662153395,Pass
10,64,2,0,0,7,64,0,1,0,2,2,1,2,4,1,1,1,0,60,59.37638598869427,Pass
17,69,0,2,1,9,83,2,1,2,2,0,0,2,4,1,0,1,0,66,64.8433940932533,Pass
27,98,1,0,1,7,56,1,1,1,0,2,0,2,3,0,0,2,0,73,73.26371297122864,Pass
20,98,2,1,0,7,50,1,1,1,2,0,0,1,2,0,1,2,0,68,69.1791294174205,Pass
14,64,2,2,1,6,85,2,1,0,2,2,1,1,3,0,1,2,1,62,61.62697864274054,Pass
16,61,2,2,0,9,86,1,1,2,1,0,1,2,2,0,1,2,1,62,63.106638435070835,Pass
24,66,0,1,1,8,81,0,1,1,2,2,1,1,4,0,1,0,1,65,65.96552992067431,Pass
16,100,0,1,1,8,63,0,1,2,1,2,1,0,3,0,1,1,1,69,69.92978495200508,Pass
21,67,2,2,0,7,96,1,1,3,1,2,1,1,2,0,1,0,0,64,64.81727505393864,Pass
20,80,2,0,0,5,94,2,1,0,1,1,0,2,4,1,2,1,0,67,67.1788551715539,Pass
16,94,0,0,1,9,76,2,1,0,1,0,1,1,2,0,1,2,1,70,69.75346096078852,Pass
33,61,2,2,0,7,99,0,1,2,2,0,1,1,3,0,0,2,0,70,68.13640996348526,Pass
24,84,0,1,0,7,65,1,1,3,2,0,1,2,3,0,1,2,0,69,70.80415406503771,Pass
8,71,0,1,0,8,75,2,1,0,2,0,1,2,3,0,1,2,1,61,62.47582536267181,Pass
21,94,2,2,0,7,96,1,1,0,2,2,0,1,2,1,2,1,1,69,68.34044116500309,Pass
16,71,0,2,1,5,73,2,1,1,2,2,1,1,0,1,1,2,1,63,63.028631561728346,Pass
25,87,2,1,1,7,74,1,1,0,2,0,1,1,4,1,1,2,1,67,69.09026376676388,Pass
15,87,1,2,0,4,54,2,1,1,2,2,1,1,6,0,3,1,1,65,65.79427473531523,Pass
19,69,2,2,1,7,61,0,1,3,0,0,1,1,4,0,1,1,1,66,65.10637365620656,Pass
23,61,1,2,0,9,58,2,1,4,2,2,1,1,2,0,1,2,1,63,63.922699612315924,Pass
25,76,2,0,1,4,78,2,1,2,2,2,0,0,3,0,1,1,0,68,67.71796417732804,Pass
13,72,0,0,0,7,66,2,1,0,1,0,1,1,4,0,2,2,1,65,64.0972535585576,Pass
18,92,1,2,1,8,54,2,1,1,2,2,1,2,3,0,1,2,1,67,68.22236153954084,Pass
17,92,1,1,1,8,75,2,1,2,2,0,1,1,3,0,2,2,0,68,69.94434318671772,Pass
16,78,2,0,0,6,83,2,1,0,1,1,1,1,3,1,0,2,1,64,64.46495908903951,Pass
31,84,2,2,0,5,87,0,1,0,2,2,0,2,3,0,0,1,1,71,70.23299455022237,Pass
22,84,2,2,1,6,92,1,1,0,2,2,1,1,5,0,1,2,0,69,68.69952563823475,Pass
12,93,2,2,1,9,74,1,1,1,2,2,1,1,3,0,2,1,1,67,66.50350173862823,Pass
26,77,1,2,0,4,70,1,1,2,0,1,1,1,3,1,0,1,0,65,67.00813291773758,Pass
33,71,1,2,0,5,84,2,1,1,2,2,1,2,2,0,1,2,1,68,69.1698753693799,Pass
26,71,0,2,1,6,51,1,0,1,0,2,0,2,3,0,2,1,1,67,65.8945509203819,Pass
11,81,2,2,1,6,82,0,1,3,2,0,1,1,4,0,1,2,1,67,66.36619302773803,Pass
17,78,2,0,1,7,70,2,0,2,1,0,1,2,3,0,1,2,1,66,66.39190653169831,Pass
28,78,0,2,0,9,73,0,1,2,2,2,1,1,4,0,0,1,0,70,68.89253473538739,Pass
16,64,0,1,1,5,65,2,1,3,2,0,0,2,4,0,2,1,0,65,64.94213342260653,Pass
23,89,1,1,1,7,56,1,1,4,2,1,0,2,4,0,2,2,0,69,71.83903553981335,Pass
25,69,2,2,1,7,70,1,0,1,0,0,1,2,4,0,1,0,0,65,65.13765449451341,Pass
14,68,0,2,0,6,65,2,1,1,0,2,1,1,3,1,0,2,1,63,61.545542797639015,Pass
20,77,2,2,0,5,98,1,1,2,1,0,0,1,2,0,2,0,0,67,66.83443706606528,Pass
